Artifact_ID,Source_Container,Original_Path_or_Artifact,SHA256,Classification,Authority_Status,Public_Inclusion,Copied_Path,Staleness_Risk,Why_Keep
SRC-REACH-001,20260907_reach.ods,public reach/release ledger,79cb242cb97582e4dadd89dfc2b7b8d76368960caa25f9ee6c109ebab8bb5d34,PUBLIC_LEDGER,SOURCE,INCLUDED,public/reach/20260907_reach.ods,LOW,Primary public reach/release source ledger.
SRC-ORCH-001,CANONICAL_STANDARDS(1).zip,ORCHESTRA Research Package Template v2.0,d669d2079a63a94f43857b1222fefaa0b022c86519c939a997858aa4947915fe,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,SELECTED_DOCS,methodology/ORCHESTRA/documents/,LOW,Selected decisive methodology documents copied; executable/template scaffolding remains in source archive.
SRC-ORCH-002,CANONICAL_STANDARDS(1).zip,ORCHESTRA Publication Package Template v2.0,880014f789f4232b306f83dad1558f82fa19df9ffcfac7168fdb89a0675aa0e7,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,SELECTED_DOCS,methodology/ORCHESTRA/documents/,LOW,Selected reader-facing custody documents copied; tools and template code omitted.
SRC-ORCH-003,CANONICAL_STANDARDS(1).zip,Research and Evidence Standard v1.0.1,ead6071e69929376f52061c3bdf17cfb7befaae25c1aa936b4474f09cd81a4f9,METHODOLOGY_STANDARD,METHODOLOGY_SOURCE,SELECTED_DOC,methodology/ORCHESTRA/documents/RESEARCH_AND_EVIDENCE_STANDARD_v1.0.1_20260821.md,LOW,Generalized methodology standard.
SRC-ORCH-004,CANONICAL_STANDARDS(1).zip,Ancestor Custody Workflow Upgrade v1.0,70dcd1c006c8400579c329e55ead5477334e47a135338fd5bf1a3b1f71c6d2c4,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,SELECTED_DOCS,methodology/ORCHESTRA/documents/,LOW,Exact ancestry/custody formalization; package tools omitted.
SRC-PC-001,CANONICAL_STANDARDS(1).zip,PHASE-CALCULUS-DERIVATION-STANDARDS.md,2757afca2a33df1f5cfe14a6c6b818e8f10b3fcfe458fdd723a8e59e6ef643d0,DERIVATION_STANDARD,REVIEW_BEFORE_CANON,HASH_ONLY,,MEDIUM,Internal path-rich standard retained by exact hash/source coordinate only.
SRC-PC-002,direct upload,Capacity-Coordinated Inverse Seed Law Working Note v0.3,9150bed4a3f3b336b7c9cf6a6ee5457191080b6d959d52817c4210bfdb3e5024,WORKING_NOTE,WORKING_NOTE,INCLUDED,records/phase-calculus/Capacity_Coordinated_Inverse_Seed_Law_Working_Note_v0.3.docx,MEDIUM,Preserves explicit open claims and withdrawal of prior errors.
SRC-CX-001,direct upload,Cortex Engine Retained Baseline 2026-07-26,8b1e6b8511321db005f453749df284465a31f3b021ba4ef684cdf37cb082daa8,DATED_BASELINE,HISTORICAL_BASELINE,INCLUDED,records/cortex/CORTEX_ENGINE_RETAINED_BASELINE_20260726.md,HIGH,Dated design boundary; not current implementation authority.
SRC-VLL-001,VLL_Rung.zip,VLL Rung1 Mechanism Decision v0.3,f2cef32273202d59218409b24699c9410b2a0e228eaf67accc6d2b0d228a5228,CORRECTION_RECORD,RESEARCH_EVIDENCE,INCLUDED,records/vll/VLL_Rung1_Mechanism_Decision_v0.3.md,LOW,Explicitly withdraws an unjustified bridge and records corrected burden.
SRC-AC-001,Analogistical-Constructivism.zip,project-status.md,41b6744d34e56e0267b38e09d5e0362abd06ed3334641a3bc6128f0b429996c9,PROJECT_STATUS,HISTORICAL_STATUS,INCLUDED,records/analogistical-constructivism/project-status.md,HIGH,Historical status snapshot only.
ARCHIVE-001,CANONICAL_STANDARDS(1).zip,private source archive,b33074a89f9dd3de35f06b1f882505bf0f6725eaf4220ede75ca2bd8c32bdfcd,SOURCE_ARCHIVE,HASH_ANCHOR,HASH_ONLY,,UNKNOWN,Archive not copied.
ARCHIVE-002,VLL_Rung.zip,private source archive,cac59e792408450e5079c68e1fdd133d5422c64ebb1a18737bc521e7f45d6ad2,SOURCE_ARCHIVE,HASH_ANCHOR,HASH_ONLY,,UNKNOWN,Archive not copied.
ARCHIVE-003,Analogistical-Constructivism.zip,private source archive,6fff5b82b5de63634809d5511f9bd01552342faf9b2045b7243f9d4b1b1595d4,SOURCE_ARCHIVE,HASH_ANCHOR,HASH_ONLY,,UNKNOWN,Archive not copied.
ARCHIVE-004,Legacy-Markdown-CFs.zip,legacy manuscript archive,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303,SOURCE_ARCHIVE,HASH_ANCHOR,HASH_ONLY,,UNKNOWN,All files indexed; only three decisive manuscript snapshots copied.
