file,title,internal_date,revision,historical_status,sha256,source_archive,source_archive_sha256
A-1_Primitive_Bifurcation_Spec.md,Definitions and Mechanisms of the Primitive Bifurcation Law,,,,e768a1138889abe6ecbf9af519a4498c36cb61027371272cfa8546a8ad70ef52,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF000_Primitive_Distinguishability_and_the_Origin_of_Differentiability.md,CF000: Complete Formalism — Primitive Distinguishability and the Origin of Differentiability in VDM,2026-03-14,,Proved.,3c568c21d7264e3833a86907c346a084a663aa5957c4d6848be439c5e1e0ca5e,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF00_Primitive_Origin_of_Induced_Geometry_and_Emergent_Dynamics.md,CF00: Complete Formalism — Primitive Origin of Induced Geometry and Emergent Dynamics in VDM,2026-03-08,,Complete Formalism,4dbdf9eb8e52f985720d4c95ed3746bef516a2145a35d17f5dbe170aac241961,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF01_QGT_to_Metriplectic_Brackets.md,CF01: Complete Formalism — Quantum Geometric Tensor to Metriplectic Brackets,2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,68eea832b9e748510e3fdbda5a8fecf52a623d68e4f831cebc673847c86bf230,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF02_Contact_to_Metriplectic_Evolution.md,CF02: Complete Formalism — Contact Geometry to Metriplectic Evolution,2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,a7f5071514fa3c949a50e214a25bde68a46ec5226470a909f22532097e7e7091,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF03_A8_Scaling_Hierarchical_Interfaces.md,CF03: Complete Formalism — A8 Scaling Theorem (Hierarchical Tachyonic Interfaces),2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,7221201ae024a7fef28429bf447effcf108beb984a3226d30ebd7ea7f4c6257b,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF04_Telegraph_Fisher_Causality.md,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,8a6173435140c2f92f4ac6870200fe57edea85ba96e98f32226be63a91d5de3e,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF05_Integrability_Closure.md,CF05: Complete Formalism — Integrability Closure (No Hidden Conserved Quantities),2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,f865720dc3d2d2bfb5d99c39dd018cdd8f771cf5345336918f1d493ed601da71,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF06_Info_Geom_Fisher_Ruppeiner_Foundations.md,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for VDM M-Limb,2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,4bcec68906c71a8034cdd9a4143ae3811c35dac1a8122580969e26910a50cd00,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF07_Measurement_Theory_Decoherence_Born_Rule.md,CF07: Measurement Theory Foundations — Decoherence and Born Rule for VDM,2025-11-05,2026-02-07 — tightened for CFN readiness,Complete Derivation,ff79b4677ae5d614a41706ef2327aba02056e7c3ea0f28e7653212d51dd7c061,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF08_Spinor_Emergence_Domain_Wall_Fermions.md,CF08: Complete Formalism — Spinor Emergence via Domain-Wall Fermions in VDM,2025-11-20,,ACTIVE — Nielsen-Ninomiya Red Team Defense,588a96efb1b1ddd05060bea97520f80d1c5d4d0ad7eb390e4789db0dfbd7d74f,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF09_Gauge_Emergence_Berry_Connection.md,CF09: Complete Formalism — Gauge Field Emergence via Berry Connection in VDM,2025-11-20,2026-02-07 — tightened for CFN readiness,ACTIVE — Weinberg-Witten Red Team Defense,0c41fbe681cfffea9ba8fc54ac660640a05642b76fddc4af9a868f3a0a256113,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF10_Lattice_Fluids_Continuum_and_Regularity_Program.md,"CF10: Complete Formalism — VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2025-11-27,2026-02-07 — tightened for CFN readiness,Program with Partial Derivations (NOT a complete proof of NS regularity),25ee8971ca49a5a5c49eaa03b0a06c0e7c1a809a1aaa8069780a8caa6c60b322,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF11_Dark_Sector_Metriplectic_Complete.md,CF11: Dark Sector Emergence from Metriplectic Dynamics,2026-02-06,2026-02-07 — tightened for CFN readiness,Corrected rewrite (T1 formalism) — ready for T2 lattice validation + T3 cosmology regression,a19d9e49c708dd2e36b71e53d170199ca113252759afa08452b055182e36c925,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF12_Gravity_Black-Holes_Thermodynamics.md,CF12 — Theorem Skeleton v1,,,,e4b045e7abc8fac4ca8ce916c7deda6bf88589e29ab2f0eca55d10fe5a814cd9,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
CF13_Pi_Transcendence_Chirality_and_NN_From_Bifurcation.tex,"CF13: COMPLETE FORMALISM --- $ pi$, TRANSCENDENCE,  
CHIRALITY, AND THE NIELSEN--NINOMIYA THEOREM  
FROM THE PRIMITIVE BIFURCATION INVARIANT","March 18, 2026",,,026e24f2fe7f131b87dbf70cf9a2f7d7e3adb2537ebd848b627fd35aeea4d0a1,Legacy-Markdown-CFs.zip,7a0b22c9006f76988f30b1a1f89f9ccf464666ca36b7dddc2e133e67d77cf303
