Evidence_ID,Evidence_Class,Event_Date,Title_or_Event,Identifier,Source,Status,Hash_or_SHA,URL_or_Path,Related_Entry,Index_Surface
PUB-0001,PUBLIC_RELEASE,2025-01-08,Theoretical Foundations for the Adaptive Modular Network,10.5281/zenodo.19155030,zenodo,PUBLIC,,https://zenodo.org/records/19155030,,public/reach/public-release-timeline.csv
PUB-0002,PUBLIC_RELEASE,2025-04-02,Self Improvement Engine Stability Analysis Framework,10.5281/zenodo.19155003,zenodo,PUBLIC,,https://zenodo.org/records/19155003,,public/reach/public-release-timeline.csv
PUB-0003,PUBLIC_RELEASE,2025-09-10,Counterfactual Echo Gain (CEG): Future-Aware Metriplectic Assistance Yields Gate-Certified Echo Improvement,10.5281/zenodo.19613111,zenodo,PUBLIC,,https://zenodo.org/records/19613111,,public/reach/public-release-timeline.csv
PUB-0004,PUBLIC_RELEASE,2025-09-29,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,10.5281/zenodo.17220869,zenodo,PUBLIC,,https://zenodo.org/records/17220869,,public/reach/public-release-timeline.csv
PUB-0005,PUBLIC_RELEASE,2025-10-27,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,10.5281/zenodo.17455491,zenodo,PUBLIC,,https://zenodo.org/records/17455491,,public/reach/public-release-timeline.csv
PUB-0006,PUBLIC_RELEASE,2025-11-01,Packaged Release of a T8 A8 Proposal for the Void Dynamics Model,10.5281/zenodo.17497855,zenodo,PUBLIC,,https://zenodo.org/records/17497855,,public/reach/public-release-timeline.csv
PUB-0007,PUBLIC_RELEASE,2025-11-01,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,10.5281/zenodo.17508502,zenodo,PUBLIC,,https://zenodo.org/records/17508502,,public/reach/public-release-timeline.csv
PUB-0008,PUBLIC_RELEASE,2025-11-01,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,10.5281/zenodo.17508148,zenodo,PUBLIC,,https://zenodo.org/records/17508148,,public/reach/public-release-timeline.csv
PUB-0009,PUBLIC_RELEASE,2025-11-01,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,10.5281/zenodo.17503344,zenodo,PUBLIC,,https://zenodo.org/records/17503344,,public/reach/public-release-timeline.csv
PUB-0010,PUBLIC_RELEASE,2025-11-02,The Lietz Infinity Resolution Conjecture: Logarithmic Hierarchical Interfaces as the Tachyonic Pulled-Front Re-Expression of the Primitive Invariant,10.5281/zenodo.19155667,zenodo,PUBLIC,,https://zenodo.org/records/19155667,,public/reach/public-release-timeline.csv
