Entry_ID,Event_Date,Recorded_Date,Workstream,Artifact,Version,Entry_Type,Status,Claim_or_Result,Direct_Preconditions,Dependency_IDs,Invariant_Earned_or_Changed,Falsifier_or_Rejected_Alternative,Supersedes_or_Corrects,Downstream_License,Evidence_Anchor,Public_ID_DOI_Commit,Content_SHA256,Verification,Notes
PC-0001,,2026-09-07,Foundations,CF000,,THEOREM/FOUNDATION,DERIVED,"Primitive condition: distinguishability, non-discharge, continued same-axis articulation, saturation, forced orthogonal extension, inheritance/invariant stacking.",,,Primitive articulation / saturation conditions established.,,,Licenses later Farey excavation and retained-state construction.,Chronology(1).md:L3-L9,,,SOURCE-DOCUMENTED,Source chronology does not state the CF000 publication date.
PC-0002,2026-03-24,2026-09-07,Farey / Infinity Resolution,Farey Remainder Recursion and Orthogonal Re-Articulation: An Exact Infinity-Resolution Theorem,v0.1,THEOREM,PUBLISHED,"First deliberate mathematical excavation of CF000: balanced refinement, exact carried remainder, finite-resolution stopping, orthogonal re-articulation.",PC-0001,PC-0001,Balanced refinement and exact carried remainder.,,,Licenses state-complete assembly attempted in CF19.,Chronology(1).md:L11-L18,,,SOURCE-DOCUMENTED,
PC-0003,2026-03-27,2026-09-07,Lifted Object,CF19: The Full Lifted Object of the Primitive Roll and Exact Return to Lifted Origin,v0.1,CONSTRUCTION,PUBLISHED,First attempt to assemble a state-complete mathematical object from structures exposed by CF000 + Farey.,PC-0001;PC-0002,PC-0001;PC-0002,State-complete lifted-object program.,,,Licenses broader lifted-state operator development.,Chronology(1).md:L20-L25,,,SOURCE-DOCUMENTED,
PC-0004,2026-04-06,2026-09-07,Phase Calculus Core,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,v1,FRAMEWORK,PUBLISHED,"Broader Phase Calculus development: lifted-state operator calculus, connection closure, shadow/completion branch.",PC-0003,PC-0003,Lifted-state operator core enters explicit Phase Calculus form.,,,"Licenses later quotient descent, completion/shadow machinery, and testing.",Chronology(1).md:L27-L35,,,SOURCE-DOCUMENTED,Chronology also records a 2026-04-07 instance.
PC-0005,2026-04-10,2026-09-07,Phase Calculus Core,Phase Calculus - Lifted-State Operator Calculus…,v11.1,FRAMEWORK,PUBLISHED,Further developed lifted-state operator calculus.,PC-0004,PC-0004,Operator core refinement.,,,Feeds quotient descent and broader Phase Calculus testing.,Chronology(1).md:L27-L35,,,SOURCE-DOCUMENTED,
PC-0006,2026-04-21,2026-09-07,Quotient Descent,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,v0.1-v1.5,THEOREM/OPERATOR,PUBLISHED,Quotient descent and EML operator development.,PC-0004;PC-0005,PC-0004;PC-0005,Quotient descent becomes an explicit operator-level mechanism.,,,Feeds later cross-domain quotient applications.,Chronology(1).md:L33-L38,,,SOURCE-DOCUMENTED,Chronology gives date range 2026-04-21 to 2026-04-22.
PC-0007,2026-04-24,2026-09-07,Cross-domain Test,"Unified Quintic: Lifted Quintic Transport, Red-Filter Quotient Descent, and Immediate Root Certification",v1.4.2,APPLICATION,PUBLISHED,Applies lifted transport and quotient descent to quintic/root certification.,PC-0006,PC-0006,Cross-domain use of quotient descent before later physical applications.,,,Provides downstream evidence that quotient machinery was not invented for one target.,Chronology(1).md:L36-L38,,,SOURCE-DOCUMENTED,
PC-0008,2026-04-24,2026-09-07,Monodromy / Memory,Monodromy as Memory: Quotient Commutation Is Not Quotient Injectivity,v0.1,THEOREM,PUBLISHED,Makes branch/history information and non-injective visible projection explicit in monodromy language.,PC-0004;PC-0006,PC-0004;PC-0006,Projection can commute while losing lifted history.,,,Supports later retained-history and Orthad development.,Chronology(1).md:L36-L38,,,SOURCE-DOCUMENTED,
PC-0009,2026-04-24,2026-09-07,Phase Calculus Core,Phase Calculus as Universal Exact Grammar for Branching Structures,v0.1,FRAMEWORK,PUBLISHED,Broad universal-exact-grammar formulation of Phase Calculus.,PC-0004;PC-0005,PC-0004;PC-0005,Branching grammar generalized beyond the initial construction.,,,Feeds later state-complete and Orthad work.,Chronology(1).md:L27-L31,,,SOURCE-DOCUMENTED,
PC-0010,2026-04-25,2026-09-07,State-Complete Inversion,The Transcendental Wall: State-Complete Inversion and Liouvillian Closure in Phase Calculus,v0.1,THEOREM/APPLICATION,PUBLISHED,Develops state-complete inversion and Liouvillian closure.,PC-0004;PC-0005;PC-0006,PC-0004;PC-0005;PC-0006,State-complete inversion becomes explicit.,,,Supports later retained-state sufficiency arguments.,Chronology(1).md:L27-L31,,,SOURCE-DOCUMENTED,
