Git_ID,Repo,Owner,Commit_Date,Full_SHA,Short_SHA,Commit_Message,Milestone_Class,Evidence_Grade,Provenance_Significance,Existing_Ledger_Crosslink,Correction_or_Rejection,Commit_URL,Web_Source_Ref,Selection_Basis,Notes
VDM-G001,VDM,Neuroca-Inc,2025-08-10,30b20e205228160d085a0091936b28a52423126b,30b20e2,first commit,BASELINE,COMMIT-DETAIL-VERIFIED,Earliest selected public Git baseline for the VDM repository; preserves the repository's early implementation lineage rather than reconstructing it retrospectively.,,,https://github.com/Neuroca-Inc/VDM/commit/30b20e205228160d085a0091936b28a52423126b,turn790433view0,repository baseline,Public Git commit date; separate from any earlier internal development chronology.
VDM-G002,VDM,Neuroca-Inc,2025-10-31,3d315e7bbabc0a2d1c2afa4ccc5a72d26c836559,3d315e7,Add A8 Candidate axiom for Lietz Infinity Resolution,HYPOTHESIS,COMMIT-DETAIL-VERIFIED,Publicly records an A8 candidate axiom for the Lietz Infinity Resolution line before the later Phase Calculus program.,,Candidate status is retained as candidate; not rewritten as a later theorem.,https://github.com/Neuroca-Inc/VDM/commit/3d315e7bbabc0a2d1c2afa4ccc5a72d26c836559,turn790433view1,new hypothesis / precursor,
VDM-G003,VDM,Neuroca-Inc,2025-11-28,8210882c7838507b62e80d0e355e9617db1bd6d6,8210882,Add CF10 program documentation for lattice hydrodynamics,PROGRAM,COMMIT-DETAIL-VERIFIED,"Hard public Git provenance for the lattice-hydrodynamics / Navier-Stokes CF10 program in November 2025, months before the later Phase Calculus closure work.",PC-0016,,https://github.com/Neuroca-Inc/VDM/commit/8210882c7838507b62e80d0e355e9617db1bd6d6,turn790433view2,open-program milestone,Commit date is the public Git event; internal manuscript dates remain a distinct evidence layer.
VDM-G004,VDM,Neuroca-Inc,2025-11-30,61ef199882b71494adad8a0e2e640a88b9c37e9a,61ef199,Updated CI to include both provenance index populator and hash updater,PROVENANCE-INFRA,COMMIT-DETAIL-VERIFIED,Makes provenance indexing and hash maintenance part of the repository workflow rather than an after-the-fact archival step.,,,https://github.com/Neuroca-Inc/VDM/commit/61ef199882b71494adad8a0e2e640a88b9c37e9a,turn790433view11,provenance infrastructure,
VDM-G005,VDM,Neuroca-Inc,2026-03-01,7fde0b0c60c8d8e629335e30b7eeb0f61e0fb678,7fde0b0,Update DIRECTIVE_Runtime_Physics_Migration_v8,MIGRATION,COMMIT-DETAIL-VERIFIED,Marks the runtime-physics migration program as an explicit versioned directive in the public history.,,,https://github.com/Neuroca-Inc/VDM/commit/7fde0b0c60c8d8e629335e30b7eeb0f61e0fb678,turn790433view10,architecture migration,
VDM-G006,VDM,Neuroca-Inc,2026-03-13,501b29ef20b2b4b120744e0957539d6af5570441,501b29e,Add Primitive Bifurcation Hypothesis (H000) details,HYPOTHESIS,COMMIT-DETAIL-VERIFIED,Publicly records the Primitive Bifurcation Hypothesis as a hypothesis-stage object immediately before CF000-era foundational work.,PC-0001,Hypothesis status preserved.,https://github.com/Neuroca-Inc/VDM/commit/501b29ef20b2b4b120744e0957539d6af5570441,turn790433view3,foundational hypothesis,
VDM-G007,VDM,Neuroca-Inc,2026-03-14,47b8eb164b07ae116b2174fa0a46091764e849eb,47b8eb1,Update CF000_Primitive_Distinguishability_and_the_Origin_of_Differentiability.md,FOUNDATION,COMMIT-DETAIL-VERIFIED,Public Git evidence for active CF000 primitive-distinguishability development at the start of the documented Phase Calculus ancestry.,PC-0001,,https://github.com/Neuroca-Inc/VDM/commit/47b8eb164b07ae116b2174fa0a46091764e849eb,turn790433view4,foundational theorem development,
VDM-G008,VDM,Neuroca-Inc,2026-03-20,a1b6010a98c66fe4f610eb6fbedf90ef58ce5edf,a1b6010,Create VDM_Canon_Ledger_DRAFT.md,CANON,COMMIT-DETAIL-VERIFIED,"Introduces an explicit canon ledger into the public repository, preserving claim-status and authority-boundary work as a first-class artifact.",PC-0001,,https://github.com/Neuroca-Inc/VDM/commit/a1b6010a98c66fe4f610eb6fbedf90ef58ce5edf,turn790433view5,canon / custody infrastructure,
VDM-G009,VDM,Neuroca-Inc,2026-03-21,3268e338fa207af6f9205e14d019be7333697237,3268e33,Create A_minus_one_Primitive_Kernel.md,FOUNDATION,COMMIT-DETAIL-VERIFIED,Adds a named primitive-kernel artifact immediately upstream of the Farey / CF19 Phase Calculus development window.,PC-0001,,https://github.com/Neuroca-Inc/VDM/commit/3268e338fa207af6f9205e14d019be7333697237,turn790433view6,primitive-kernel milestone,
VDM-G010,VDM,Neuroca-Inc,2026-03-22,c648922a3a1a63c99af1aee21f918ca52d00d8c2,c648922,Update VDM_Assembly_Runtime_Specification.md,IMPLEMENTATION,COMMIT-DETAIL-VERIFIED,Publicly timestamps the assembly-runtime specification during the same period in which the formal primitive program was being consolidated.,,,https://github.com/Neuroca-Inc/VDM/commit/c648922a3a1a63c99af1aee21f918ca52d00d8c2,turn790433view7,implementation authority boundary,
VDM-G011,VDM,Neuroca-Inc,2026-04-13,61562ec6ea416272c237411cb761dea24f116689,61562ec,"Added several CF notebooks, and updated vdm rt v9 with raw logs and analysis",VERIFICATION,COMMIT-DETAIL-VERIFIED,Links formal CF development to executable notebooks and raw runtime evidence in one public commit.,,,https://github.com/Neuroca-Inc/VDM/commit/61562ec6ea416272c237411cb761dea24f116689,turn790433view8,evidence / reproducibility milestone,
VDM-G012,VDM,Neuroca-Inc,2026-04-24,04764ed6db0dacb7cafcbb68ebea5ab75220c52a,04764ed,Update README with Lean4 repository information,VERIFICATION-INFRA,COMMIT-DETAIL-VERIFIED,Publicly links the VDM repository surface to Lean 4 formal-verification material.,,,https://github.com/Neuroca-Inc/VDM/commit/04764ed6db0dacb7cafcbb68ebea5ab75220c52a,turn790433view9,formal verification infrastructure,
PBL-G001,primitive_bifurcation_law_VDM,justinlietz93,2026-03-23,47b40aa6305632e4a4115efd078f173c90e7ac6a,47b40aa,Create origin_operator_discriminator.md,CORRECTION/EXPERIMENT,COMMIT-DETAIL-VERIFIED,"The commit explicitly identifies why an earlier executable-choke test was insufficient, replaces it with a corrected successor-opcode discriminator, and records immediate local executable-class admission.",PC-0001,Earlier LOCK CMPXCHG choke was retained as a host-pressure witness but rejected as sufficient proof of executed instruction-class change.,https://github.com/justinlietz93/primitive_bifurcation_law_VDM/commit/47b40aa6305632e4a4115efd078f173c90e7ac6a,turn588175view0,explicit correction + stronger discriminator,One of the strongest provenance rows because the failed interpretation is documented inside the correcting commit.
