Artifact_ID,Source_Container,Original_Path,SHA256,Classification,Authority_Status,Public_Inclusion,Copied_Path,Staleness_Risk,Why_Keep,Notes
SRC-ORCH-001,CANONICAL_STANDARDS(1).zip,Templates/ORCHESTRA_RESEARCH_PACKAGE_TEMPLATE_v2.0_20260804,d669d2079a63a94f43857b1222fefaa0b022c86519c939a997858aa4947915fe,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,INCLUDED,methodology/ORCHESTRA/source-artifacts/ORCHESTRA_RESEARCH_PACKAGE_TEMPLATE_v2.0_20260804/,LOW,Concrete ORCHESTRA/provenance methodology artifact with explicit package or standard version/date.,SHA256 is deterministic tree-manifest hash for the copied package.
SRC-ORCH-002,CANONICAL_STANDARDS(1).zip,Templates/ORCHESTRA_PUBLICATION_PACKAGE_TEMPLATE_v2.0_20260804,880014f789f4232b306f83dad1558f82fa19df9ffcfac7168fdb89a0675aa0e7,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,INCLUDED,methodology/ORCHESTRA/source-artifacts/ORCHESTRA_PUBLICATION_PACKAGE_TEMPLATE_v2.0_20260804/,LOW,Concrete ORCHESTRA/provenance methodology artifact with explicit package or standard version/date.,SHA256 is deterministic tree-manifest hash for the copied package.
SRC-ORCH-003,CANONICAL_STANDARDS(1).zip,Standards/RESEARCH_AND_EVIDENCE_STANDARD_v1.0.1_20260821,ead6071e69929376f52061c3bdf17cfb7befaae25c1aa936b4474f09cd81a4f9,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,INCLUDED,methodology/ORCHESTRA/source-artifacts/RESEARCH_AND_EVIDENCE_STANDARD_v1.0.1_20260821/,LOW,Concrete ORCHESTRA/provenance methodology artifact with explicit package or standard version/date.,SHA256 is deterministic tree-manifest hash for the copied package.
SRC-ORCH-004,CANONICAL_STANDARDS(1).zip,Systems/ANCESTOR_CUSTODY_WORKFLOW_UPGRADE_v1.0_20260826,70dcd1c006c8400579c329e55ead5477334e47a135338fd5bf1a3b1f71c6d2c4,METHODOLOGY_PACKAGE,METHODOLOGY_SOURCE,INCLUDED,methodology/ORCHESTRA/source-artifacts/ANCESTOR_CUSTODY_WORKFLOW_UPGRADE_v1.0_20260826/,LOW,Concrete ORCHESTRA/provenance methodology artifact with explicit package or standard version/date.,SHA256 is deterministic tree-manifest hash for the copied package.
SRC-PC-001,CANONICAL_STANDARDS(1).zip,Standards/PHASE-CALCULUS-DERIVATION-STANDARDS.md,2757afca2a33df1f5cfe14a6c6b818e8f10b3fcfe458fdd723a8e59e6ef643d0,DERIVATION_STANDARD,REVIEW_BEFORE_CANON,HASH_ONLY,,MEDIUM,Strong source-location custody and no-provenance-amnesia rules; may contain internal paths and should be reviewed before public copying.,Not copied into the public-ready tree; hash and source coordinate retained.
SRC-PC-002,direct upload,Capacity_Coordinated_Inverse_Seed_Law_Working_Note_v0.3(1).docx,9150bed4a3f3b336b7c9cf6a6ee5457191080b6d959d52817c4210bfdb3e5024,WORKING_NOTE,WORKING_NOTE,INCLUDED,records/phase-calculus/Capacity_Coordinated_Inverse_Seed_Law_Working_Note_v0.3.docx,MEDIUM,Explicitly separates established construction law from open PRIT/totality claims and preserves withdrawal of v0.1 errors.,Original DOCX copied unchanged.
SRC-CX-001,direct upload,CORTEX_ENGINE_RETAINED_BASELINE_20260726.md,8b1e6b8511321db005f453749df284465a31f3b021ba4ef684cdf37cb082daa8,DATED_BASELINE,HISTORICAL_BASELINE,INCLUDED,records/cortex/CORTEX_ENGINE_RETAINED_BASELINE_20260726.md,HIGH,Dated integrated design baseline with explicit implementation boundary and external artifact hashes.,Preserved as a 2026-07-26 snapshot; later Cortex work may supersede portions.
SRC-VLL-001,VLL_Rung.zip,VLL_Rung/VLL_Rung1_Mechanism_Decision_v0.3.md,f2cef32273202d59218409b24699c9410b2a0e228eaf67accc6d2b0d228a5228,CORRECTION_RECORD,RESEARCH_EVIDENCE,INCLUDED,records/vll/VLL_Rung1_Mechanism_Decision_v0.3.md,LOW,Explicitly withdraws a silently assumed continuum-to-graph bridge and replaces it with a gated derivation plan.,
SRC-VLL-002,VLL_Rung.zip,VLL_Rung/vll_research_subfolder/rung0_runs/rung0_mcr_v1/RUN_LEDGER.json,0f29a650a9703199e54aec5d1dac4a5a7ea17cb747ed279dfe601938d7ba602d,RUN_PROVENANCE,RESEARCH_EVIDENCE,INCLUDED,records/vll/rung0_mcr_v1/RUN_LEDGER.json,LOW,"Machine-readable run plan/ledger/manifest preserving execution identity, source hashes, stages, and evidence custody.",Historical local paths are retained as evidence coordinates.
SRC-VLL-003,VLL_Rung.zip,VLL_Rung/vll_research_subfolder/rung0_runs/rung0_mcr_v1/RUN_MANIFEST.json,68146a19805662870bc2bd7249b2ff202499a4be660883c03b33404e0ef616e3,RUN_PROVENANCE,RESEARCH_EVIDENCE,INCLUDED,records/vll/rung0_mcr_v1/RUN_MANIFEST.json,LOW,"Machine-readable run plan/ledger/manifest preserving execution identity, source hashes, stages, and evidence custody.",Historical local paths are retained as evidence coordinates.
