source,identifier,title,date,views,unique_views,downloads,unique_downloads,human_ratio,stars,forks,url
zenodo,10.5281/zenodo.19155030,Theoretical Foundations for the Adaptive Modular Network,2025-01-08,26,26,20,19,0.95,,,https://zenodo.org/records/19155030
zenodo,10.5281/zenodo.19155003,Self Improvement Engine Stability Analysis Framework,2025-04-02,28,28,20,20,1,,,https://zenodo.org/records/19155003
zenodo,10.5281/zenodo.17220869,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2025-09-29,375,312,610,507,0.831,,,https://zenodo.org/records/17220869
zenodo,10.5281/zenodo.17455491,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2025-10-27,7,7,9,9,1,,,https://zenodo.org/records/17455491
zenodo,10.5281/zenodo.17508502,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,162,155,159,139,0.874,,,https://zenodo.org/records/17508502
zenodo,10.5281/zenodo.17508148,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,25,25,15,15,1,,,https://zenodo.org/records/17508148
zenodo,10.5281/zenodo.17503344,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,53,48,55,46,0.836,,,https://zenodo.org/records/17503344
zenodo,10.5281/zenodo.19155667,The Lietz Infinity Resolution Conjecture: Logarithmic Hierarchical Interfaces as the Tachyonic Pulled-Front Re-Expression of the Primitive Invariant,2025-11-02,90,87,45,42,0.933,,,https://zenodo.org/records/19155667
zenodo,10.5281/zenodo.18675311,"CF10: Complete Formalism — VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-02-17,18,17,6,5,0.833,,,https://zenodo.org/records/18675311
zenodo,10.5281/zenodo.18676423,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-02-17,25,23,20,19,0.95,,,https://zenodo.org/records/18676423
zenodo,10.5281/zenodo.19010844,Branch Relative Origin Resolution,2026-03-14,85,83,46,43,0.935,,,https://zenodo.org/records/19010844
zenodo,10.5281/zenodo.19644143,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-03-18,46,46,119,115,0.966,,,https://zenodo.org/records/19644143
zenodo,10.5281/zenodo.19098778,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-03-18,38,33,37,28,0.757,,,https://zenodo.org/records/19098778
zenodo,10.5281/zenodo.19806286,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,33,30,101,99,0.98,,,https://zenodo.org/records/19806286
zenodo,10.5281/zenodo.19804479,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,21,20,40,37,0.925,,,https://zenodo.org/records/19804479
zenodo,10.5281/zenodo.19163509,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,35,34,35,32,0.914,,,https://zenodo.org/records/19163509
zenodo,10.5281/zenodo.19210954,Farey Remainder Recursion and Orthogonal Re-Articulation: An Exact Infinity-Resolution Theorem,2026-03-24,85,78,54,49,0.907,,,https://zenodo.org/records/19210954
zenodo,10.5281/zenodo.19242223,"The Full Lifted Object of the Primitive Roll: Exact Balanced-Window Evolution, True Return, π-Position, and the First Completion Bridge",2026-03-26,25,25,21,21,1,,,https://zenodo.org/records/19242223
zenodo,10.5281/zenodo.19267927,CF19: The Full Lifted Object of the Primitive Roll and Exact Return to Lifted Origin,2026-03-27,68,65,63,58,0.921,,,https://zenodo.org/records/19267927
zenodo,10.5281/zenodo.19380587,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-04-01,92,89,64,60,0.938,,,https://zenodo.org/records/19380587
zenodo,10.5281/zenodo.19447474,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-06,16,16,14,13,0.929,,,https://zenodo.org/records/19447474
zenodo,10.5281/zenodo.19449044,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-07,16,16,28,28,1,,,https://zenodo.org/records/19449044
zenodo,10.5281/zenodo.19446535,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-07,19,18,19,18,0.947,,,https://zenodo.org/records/19446535
zenodo,10.5281/zenodo.19491529,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-10,91,79,148,135,0.912,,,https://zenodo.org/records/19491529
zenodo,10.5281/zenodo.19521030,DRAFT Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-12,78,73,56,51,0.911,,,https://zenodo.org/records/19521030
zenodo,10.5281/zenodo.19651366,Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-18,58,57,336,333,0.991,,,https://zenodo.org/records/19651366
zenodo,10.5281/zenodo.19650307,"DRAFT CF000-E1: Forced Oscillation, Curiosity, and Productive Tension",2026-04-19,38,36,66,64,0.97,,,https://zenodo.org/records/19650307
zenodo,10.5281/zenodo.19650753,DRAFT Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-19,27,27,105,105,1,,,https://zenodo.org/records/19650753
zenodo,10.5281/zenodo.19724444,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,144,124,181,156,0.862,,,https://zenodo.org/records/19724444
zenodo,10.5281/zenodo.19698932,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,42,40,85,74,0.871,,,https://zenodo.org/records/19698932
zenodo,10.5281/zenodo.19688963,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,41,40,36,36,1,,,https://zenodo.org/records/19688963
zenodo,10.5281/zenodo.19688140,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,22,20,35,33,0.943,,,https://zenodo.org/records/19688140
zenodo,10.5281/zenodo.19687962,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-22,34,31,19,15,0.789,,,https://zenodo.org/records/19687962
zenodo,10.5281/zenodo.19741769,Monodromy as Memory: Quotient Commutation Is Not Quotient Injectivity,2026-04-24,38,36,29,27,0.931,,,https://zenodo.org/records/19741769
zenodo,10.5281/zenodo.19741678,Phase Calculus as Universal Exact Grammar for Branching Structures,2026-04-24,36,34,24,21,0.875,,,https://zenodo.org/records/19741678
zenodo,10.5281/zenodo.19725430,"Unified Quintic: Lifted Quintic Transport, Red-Filter Quotient Descent, and Immediate Root Certification",2026-04-24,45,44,86,84,0.977,,,https://zenodo.org/records/19725430
zenodo,10.5281/zenodo.19750321,The Transcendental Wall: State-Complete Inversion and Liouvillian Closure in Phase Calculus,2026-04-25,70,69,42,40,0.952,,,https://zenodo.org/records/19750321
zenodo,10.5281/zenodo.20091655,CF10: Global Regularity for the Three-Dimensional Navier–Stokes Equations,2026-04-27,57,53,144,132,0.917,,,https://zenodo.org/records/20091655
zenodo,10.5281/zenodo.19836509,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,36,36,63,61,0.968,,,https://zenodo.org/records/19836509
zenodo,10.5281/zenodo.19834541,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,23,22,33,32,0.97,,,https://zenodo.org/records/19834541
zenodo,10.5281/zenodo.19826747,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,18,15,33,29,0.879,,,https://zenodo.org/records/19826747
zenodo,10.5281/zenodo.19903551,Retained Loop Projection and Branch-History Monodromy in Transdimensional Anomalous Hall Transport,2026-04-30,35,31,37,32,0.865,,,https://zenodo.org/records/19903551
zenodo,10.5281/zenodo.21443828,The Lifted Object: A Natural-Language Walkthrough from Primitive Custody to the Orthad,2026-07-19,31,29,12,12,1,,,https://zenodo.org/records/21443828
zenodo,10.5281/zenodo.21439518,The Lifted Object: A Natural-Language Walkthrough from Primitive Custody to the Orthad,2026-07-19,34,26,5,5,1,,,https://zenodo.org/records/21439518
zenodo,10.5281/zenodo.21586157,Phase Calculus and the 2026 Jacobian Counterexample,2026-07-22,26,24,5,5,1,,,https://zenodo.org/records/21586157
zenodo,10.5281/zenodo.22103196,A Logarithmic First Integral for the Logistic On Site Law in VDM,2026-08-25,28,23,38,29,0.763,,,https://zenodo.org/records/22103196
zenodo,10.5281/zenodo.22102244,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2026-08-25,7,7,6,4,0.667,,,https://zenodo.org/records/22102244
github,Neuroca-Inc/vdm-logistic-solver,A small installable interface around the exact logistic on-site reaction step and logarithmic invariant used in the VDM ,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/vdm-logistic-solver
github,Neuroca-Inc/cortex-engine,"Phase Calculus world simulation engine for physics, video games, AI models, operating systems, robotics, and more.",2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/cortex-engine
zenodo,10.5281/zenodo.22210015,"Cellular Sheaf Theory for the Orthad A Proposal for Local-to-Global Consistency, Reconstruction, and Seal Obstructions",2026-08-31,2,1,2,2,1,,,https://zenodo.org/records/22210015
zenodo,10.5281/zenodo.22209981,"Mapping the Collatz Conjecture with Phase Calculus A Proposal for Inverse Words, Base-L Carries, and Orthad Realization",2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209981
zenodo,10.5281/zenodo.22210019,Phase Calculus Rosetta Stone,2026-08-31,2,2,2,2,1,,,https://zenodo.org/records/22210019
zenodo,10.5281/zenodo.22209950,Proposal for an Orthad Derivation of the Quarter-Twisted Conjugate-Edge Kernel,2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209950
zenodo,10.5281/zenodo.22209910,Proposed Future Research in Phase Calculus,2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209910
