source,identifier,title,date,views,unique_views,downloads,unique_downloads,human_ratio,stars,forks,url
zenodo,10.5281/zenodo.22210019,Phase Calculus Rosetta Stone,2026-08-31,2,2,2,2,1,,,https://zenodo.org/records/22210019
zenodo,10.5281/zenodo.22210015,"Cellular Sheaf Theory for the Orthad A Proposal for Local-to-Global Consistency, Reconstruction, and Seal Obstructions",2026-08-31,2,1,2,2,1,,,https://zenodo.org/records/22210015
zenodo,10.5281/zenodo.22209910,Proposed Future Research in Phase Calculus,2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209910
zenodo,10.5281/zenodo.22209950,Proposal for an Orthad Derivation of the Quarter-Twisted Conjugate-Edge Kernel,2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209950
zenodo,10.5281/zenodo.22209981,"Mapping the Collatz Conjecture with Phase Calculus A Proposal for Inverse Words, Base-L Carries, and Orthad Realization",2026-08-31,0,0,2,2,1,,,https://zenodo.org/records/22209981
zenodo,10.5281/zenodo.22289025,Arithmetic and Calculus on Base-L Lifted-Word Spaces,2026-09-04,5,4,2,2,1,,,https://zenodo.org/records/22289025
zenodo,10.5281/zenodo.22103830,Counterfactual Echo Gain (CEG): Future-Aware Metriplectic Assistance Yields Gate-Certified Echo Improvement,2026-08-26,6,5,3,3,1,,,https://zenodo.org/records/22103830
zenodo,10.5281/zenodo.22103196,A Logarithmic First Integral for the Logistic On Site Law in VDM,2026-08-25,28,23,38,29,0.763,,,https://zenodo.org/records/22103196
zenodo,10.5281/zenodo.22102244,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2026-08-25,7,7,6,4,0.667,,,https://zenodo.org/records/22102244
zenodo,10.5281/zenodo.21586157,Phase Calculus and the 2026 Jacobian Counterexample,2026-07-22,26,24,5,5,1,,,https://zenodo.org/records/21586157
zenodo,10.5281/zenodo.21459102,CF09: Gauge Field Emergence from the Berry Connection,2026-07-20,16,16,13,13,1,,,https://zenodo.org/records/21459102
zenodo,10.5281/zenodo.21443828,The Lifted Object: A Natural-Language Walkthrough from Primitive Custody to the Orthad,2026-07-19,31,29,12,12,1,,,https://zenodo.org/records/21443828
zenodo,10.5281/zenodo.21439518,The Lifted Object: A Natural-Language Walkthrough from Primitive Custody to the Orthad,2026-07-19,34,26,5,5,1,,,https://zenodo.org/records/21439518
zenodo,10.5281/zenodo.20091655,CF10: Global Regularity for the Three-Dimensional Navier–Stokes Equations,2026-04-27,57,53,144,132,0.917,,,https://zenodo.org/records/20091655
zenodo,10.5281/zenodo.19903551,Retained Loop Projection and Branch-History Monodromy in Transdimensional Anomalous Hall Transport,2026-04-30,35,31,37,32,0.865,,,https://zenodo.org/records/19903551
zenodo,10.5281/zenodo.19836509,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,36,36,63,61,0.968,,,https://zenodo.org/records/19836509
zenodo,10.5281/zenodo.19834541,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,23,22,33,32,0.97,,,https://zenodo.org/records/19834541
zenodo,10.5281/zenodo.19826747,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-04-27,18,15,33,29,0.879,,,https://zenodo.org/records/19826747
zenodo,10.5281/zenodo.19806286,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,33,30,101,99,0.98,,,https://zenodo.org/records/19806286
zenodo,10.5281/zenodo.19804479,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,21,20,40,37,0.925,,,https://zenodo.org/records/19804479
zenodo,10.5281/zenodo.19750321,The Transcendental Wall: State-Complete Inversion and Liouvillian Closure in Phase Calculus,2026-04-25,70,69,42,40,0.952,,,https://zenodo.org/records/19750321
zenodo,10.5281/zenodo.19742587,PCVDMFullDynamicsRegressor,2026-04-24,39,34,150,141,0.94,,,https://zenodo.org/records/19742587
zenodo,10.5281/zenodo.19741769,Monodromy as Memory: Quotient Commutation Is Not Quotient Injectivity,2026-04-24,38,36,29,27,0.931,,,https://zenodo.org/records/19741769
zenodo,10.5281/zenodo.19741678,Phase Calculus as Universal Exact Grammar for Branching Structures,2026-04-24,36,34,24,21,0.875,,,https://zenodo.org/records/19741678
zenodo,10.5281/zenodo.19725430,"Unified Quintic: Lifted Quintic Transport, Red-Filter Quotient Descent, and Immediate Root Certification",2026-04-24,45,44,86,84,0.977,,,https://zenodo.org/records/19725430
zenodo,10.5281/zenodo.19724444,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,144,124,181,156,0.862,,,https://zenodo.org/records/19724444
zenodo,10.5281/zenodo.19698932,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,42,40,85,74,0.871,,,https://zenodo.org/records/19698932
zenodo,10.5281/zenodo.19688963,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,41,40,36,36,1,,,https://zenodo.org/records/19688963
zenodo,10.5281/zenodo.19688140,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-21,22,20,35,33,0.943,,,https://zenodo.org/records/19688140
zenodo,10.5281/zenodo.19687962,Quotient Descent and the EML Operator: Why Continuous Composites Are Not Primitives,2026-04-22,34,31,19,15,0.789,,,https://zenodo.org/records/19687962
zenodo,10.5281/zenodo.19651366,Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-18,58,57,336,333,0.991,,,https://zenodo.org/records/19651366
zenodo,10.5281/zenodo.19650753,DRAFT Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-19,27,27,105,105,1,,,https://zenodo.org/records/19650753
zenodo,10.5281/zenodo.19650307,"DRAFT CF000-E1: Forced Oscillation, Curiosity, and Productive Tension",2026-04-19,38,36,66,64,0.97,,,https://zenodo.org/records/19650307
zenodo,10.5281/zenodo.19649999,justinlietz93/Advanced-AI-Math: v0.01_Zenodo_Provenance,2026-04-19,16,14,3,3,1,,,https://zenodo.org/records/19649999
zenodo,10.5281/zenodo.19644143,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-03-18,46,46,119,115,0.966,,,https://zenodo.org/records/19644143
